fips,name,st,state,st_fips,name_st,name_state,type
01001,Autauga County,AL,Alabama,01,"Autauga County, AL","Autauga County, Alabama",H1
01003,Baldwin County,AL,Alabama,01,"Baldwin County, AL","Baldwin County, Alabama",H1
01005,Barbour County,AL,Alabama,01,"Barbour County, AL","Barbour County, Alabama",H1
01007,Bibb County,AL,Alabama,01,"Bibb County, AL","Bibb County, Alabama",H1
01009,Blount County,AL,Alabama,01,"Blount County, AL","Blount County, Alabama",H1
01011,Bullock County,AL,Alabama,01,"Bullock County, AL","Bullock County, Alabama",H1
01013,Butler County,AL,Alabama,01,"Butler County, AL","Butler County, Alabama",H1
01015,Calhoun County,AL,Alabama,01,"Calhoun County, AL","Calhoun County, Alabama",H1
01017,Chambers County,AL,Alabama,01,"Chambers County, AL","Chambers County, Alabama",H1
01019,Cherokee County,AL,Alabama,01,"Cherokee County, AL","Cherokee County, Alabama",H1
01021,Chilton County,AL,Alabama,01,"Chilton County, AL","Chilton County, Alabama",H1
01023,Choctaw County,AL,Alabama,01,"Choctaw County, AL","Choctaw County, Alabama",H1
01025,Clarke County,AL,Alabama,01,"Clarke County, AL","Clarke County, Alabama",H1
01027,Clay County,AL,Alabama,01,"Clay County, AL","Clay County, Alabama",H1
01029,Cleburne County,AL,Alabama,01,"Cleburne County, AL","Cleburne County, Alabama",H1
01031,Coffee County,AL,Alabama,01,"Coffee County, AL","Coffee County, Alabama",H1
01033,Colbert County,AL,Alabama,01,"Colbert County, AL","Colbert County, Alabama",H1
01035,Conecuh County,AL,Alabama,01,"Conecuh County, AL","Conecuh County, Alabama",H1
01037,Coosa County,AL,Alabama,01,"Coosa County, AL","Coosa County, Alabama",H1
01039,Covington County,AL,Alabama,01,"Covington County, AL","Covington County, Alabama",H1
01041,Crenshaw County,AL,Alabama,01,"Crenshaw County, AL","Crenshaw County, Alabama",H1
01043,Cullman County,AL,Alabama,01,"Cullman County, AL","Cullman County, Alabama",H1
01045,Dale County,AL,Alabama,01,"Dale County, AL","Dale County, Alabama",H1
01047,Dallas County,AL,Alabama,01,"Dallas County, AL","Dallas County, Alabama",H1
01049,DeKalb County,AL,Alabama,01,"DeKalb County, AL","DeKalb County, Alabama",H1
01051,Elmore County,AL,Alabama,01,"Elmore County, AL","Elmore County, Alabama",H1
01053,Escambia County,AL,Alabama,01,"Escambia County, AL","Escambia County, Alabama",H1
01055,Etowah County,AL,Alabama,01,"Etowah County, AL","Etowah County, Alabama",H1
01057,Fayette County,AL,Alabama,01,"Fayette County, AL","Fayette County, Alabama",H1
01059,Franklin County,AL,Alabama,01,"Franklin County, AL","Franklin County, Alabama",H1
01061,Geneva County,AL,Alabama,01,"Geneva County, AL","Geneva County, Alabama",H1
01063,Greene County,AL,Alabama,01,"Greene County, AL","Greene County, Alabama",H1
01065,Hale County,AL,Alabama,01,"Hale County, AL","Hale County, Alabama",H1
01067,Henry County,AL,Alabama,01,"Henry County, AL","Henry County, Alabama",H1
01069,Houston County,AL,Alabama,01,"Houston County, AL","Houston County, Alabama",H1
01071,Jackson County,AL,Alabama,01,"Jackson County, AL","Jackson County, Alabama",H1
01073,Jefferson County,AL,Alabama,01,"Jefferson County, AL","Jefferson County, Alabama",H1
01075,Lamar County,AL,Alabama,01,"Lamar County, AL","Lamar County, Alabama",H1
01077,Lauderdale County,AL,Alabama,01,"Lauderdale County, AL","Lauderdale County, Alabama",H1
01079,Lawrence County,AL,Alabama,01,"Lawrence County, AL","Lawrence County, Alabama",H1
01081,Lee County,AL,Alabama,01,"Lee County, AL","Lee County, Alabama",H1
01083,Limestone County,AL,Alabama,01,"Limestone County, AL","Limestone County, Alabama",H1
01085,Lowndes County,AL,Alabama,01,"Lowndes County, AL","Lowndes County, Alabama",H1
01087,Macon County,AL,Alabama,01,"Macon County, AL","Macon County, Alabama",H1
01089,Madison County,AL,Alabama,01,"Madison County, AL","Madison County, Alabama",H1
01091,Marengo County,AL,Alabama,01,"Marengo County, AL","Marengo County, Alabama",H1
01093,Marion County,AL,Alabama,01,"Marion County, AL","Marion County, Alabama",H1
01095,Marshall County,AL,Alabama,01,"Marshall County, AL","Marshall County, Alabama",H1
01097,Mobile County,AL,Alabama,01,"Mobile County, AL","Mobile County, Alabama",H1
01099,Monroe County,AL,Alabama,01,"Monroe County, AL","Monroe County, Alabama",H1
01101,Montgomery County,AL,Alabama,01,"Montgomery County, AL","Montgomery County, Alabama",H1
01103,Morgan County,AL,Alabama,01,"Morgan County, AL","Morgan County, Alabama",H1
01105,Perry County,AL,Alabama,01,"Perry County, AL","Perry County, Alabama",H1
01107,Pickens County,AL,Alabama,01,"Pickens County, AL","Pickens County, Alabama",H1
01109,Pike County,AL,Alabama,01,"Pike County, AL","Pike County, Alabama",H1
01111,Randolph County,AL,Alabama,01,"Randolph County, AL","Randolph County, Alabama",H1
01113,Russell County,AL,Alabama,01,"Russell County, AL","Russell County, Alabama",H1
01115,St. Clair County,AL,Alabama,01,"St. Clair County, AL","St. Clair County, Alabama",H1
01117,Shelby County,AL,Alabama,01,"Shelby County, AL","Shelby County, Alabama",H1
01119,Sumter County,AL,Alabama,01,"Sumter County, AL","Sumter County, Alabama",H1
01121,Talladega County,AL,Alabama,01,"Talladega County, AL","Talladega County, Alabama",H1
01123,Tallapoosa County,AL,Alabama,01,"Tallapoosa County, AL","Tallapoosa County, Alabama",H1
01125,Tuscaloosa County,AL,Alabama,01,"Tuscaloosa County, AL","Tuscaloosa County, Alabama",H1
01127,Walker County,AL,Alabama,01,"Walker County, AL","Walker County, Alabama",H1
01129,Washington County,AL,Alabama,01,"Washington County, AL","Washington County, Alabama",H1
01131,Wilcox County,AL,Alabama,01,"Wilcox County, AL","Wilcox County, Alabama",H1
01133,Winston County,AL,Alabama,01,"Winston County, AL","Winston County, Alabama",H1
02013,Aleutians East Borough,AK,Alaska,02,"Aleutians East Borough, AK","Aleutians East Borough, Alaska",H1
02016,Aleutians West Census Area,AK,Alaska,02,"Aleutians West Census Area, AK","Aleutians West Census Area, Alaska",H5
02020,Anchorage Municipality,AK,Alaska,02,"Anchorage Municipality, AK","Anchorage Municipality, Alaska",H6
02050,Bethel Census Area,AK,Alaska,02,"Bethel Census Area, AK","Bethel Census Area, Alaska",H5
02060,Bristol Bay Borough,AK,Alaska,02,"Bristol Bay Borough, AK","Bristol Bay Borough, Alaska",H1
02068,Denali Borough,AK,Alaska,02,"Denali Borough, AK","Denali Borough, Alaska",H1
02070,Dillingham Census Area,AK,Alaska,02,"Dillingham Census Area, AK","Dillingham Census Area, Alaska",H5
02090,Fairbanks North Star Borough,AK,Alaska,02,"Fairbanks North Star Borough, AK","Fairbanks North Star Borough, Alaska",H1
02100,Haines Borough,AK,Alaska,02,"Haines Borough, AK","Haines Borough, Alaska",H1
02105,Hoonah-Angoon Census Area,AK,Alaska,02,"Hoonah-Angoon Census Area, AK","Hoonah-Angoon Census Area, Alaska",H5
02110,Juneau City and Borough,AK,Alaska,02,"Juneau City and Borough, AK","Juneau City and Borough, Alaska",H6
02122,Kenai Peninsula Borough,AK,Alaska,02,"Kenai Peninsula Borough, AK","Kenai Peninsula Borough, Alaska",H1
02130,Ketchikan Gateway Borough,AK,Alaska,02,"Ketchikan Gateway Borough, AK","Ketchikan Gateway Borough, Alaska",H1
02150,Kodiak Island Borough,AK,Alaska,02,"Kodiak Island Borough, AK","Kodiak Island Borough, Alaska",H1
02164,Lake and Peninsula Borough,AK,Alaska,02,"Lake and Peninsula Borough, AK","Lake and Peninsula Borough, Alaska",H1
02170,Matanuska-Susitna Borough,AK,Alaska,02,"Matanuska-Susitna Borough, AK","Matanuska-Susitna Borough, Alaska",H1
02180,Nome Census Area,AK,Alaska,02,"Nome Census Area, AK","Nome Census Area, Alaska",H5
02185,North Slope Borough,AK,Alaska,02,"North Slope Borough, AK","North Slope Borough, Alaska",H1
02188,Northwest Arctic Borough,AK,Alaska,02,"Northwest Arctic Borough, AK","Northwest Arctic Borough, Alaska",H1
02195,Petersburg Census Area,AK,Alaska,02,"Petersburg Census Area, AK","Petersburg Census Area, Alaska",H5
02198,Prince of Wales-Hyder Census Area,AK,Alaska,02,"Prince of Wales-Hyder Census Area, AK","Prince of Wales-Hyder Census Area, Alaska",H5
02220,Sitka City and Borough,AK,Alaska,02,"Sitka City and Borough, AK","Sitka City and Borough, Alaska",H6
02230,Skagway Municipality,AK,Alaska,02,"Skagway Municipality, AK","Skagway Municipality, Alaska",H1
02240,Southeast Fairbanks Census Area,AK,Alaska,02,"Southeast Fairbanks Census Area, AK","Southeast Fairbanks Census Area, Alaska",H5
02261,Valdez-Cordova Census Area,AK,Alaska,02,"Valdez-Cordova Census Area, AK","Valdez-Cordova Census Area, Alaska",H5
